handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,category_1_unified,category_2_unified,category_primary,if_exist
julesleblanc,jules,18600000,2900000,657500,1800,516,,,,0
alexhook2303,Александр,4300000,1300000,253600,10800,2300,,,,0
laurahfritz,laura & lena,2500000,2200000,400800,1500,3300,,,,0
corvii_ff,EL CORVII 🍭,10500000,2500000,427700,3800,215,,,,0
gabimfmoura,Gabriela Moura,7700000,2600000,381300,1900,2400,,,,0
bottleofdjinn,HIM,706300,2800000,582700,1600,1100,,,,0
mohmadtra,ترفولتا,1800000,4400000,304700,2000,1200,,,,0
respectme90,Football  ⚽️ футбол,658100,2000000,243100,3700,5000,,,,0
soycintiacossio,Cintia Cossio,4100000,5700000,480000,702,838,,,,0
thegoodhype,Goodlin Siblings,1700000,2500000,443500,1600,2200,,,,0
carolvillanes,Carol Villanes,4100000,1800000,312300,7000,458,,,,0
just_jenoah_,Jenoah Santiago,1400000,2400000,488500,1500,2000,,,,0
datdo0803,Đỗ Đạt,6500000,4600000,368800,1700,732,,,,0
robgronkowski,gronk,2400000,2400000,332000,1700,3500,,,,0
___nicoichi___,NICO【平成フラミンゴ】,1300000,2700000,288900,3200,2100,,,,0
pablitocastilloo,pablitocastilloo,4500000,1800000,225600,1400,9000,,,,0
iamjonathanpeter,Jonathan Peter,12700000,3200000,379000,999,2400,,,,0
meowlife7,Cats is life,876400,2300000,311500,1600,4100,,,,0
pimpiriya1,PIM PIRIYA,1300000,2900000,567900,1200,1300,,,,0
ferchugimenez,Fernanda,4300000,3300000,456500,1400,1300,,,,0
homm9k,ХОМЯК,39000000,2800000,385800,3000,752,,,,0
mndiaye_97,mndiaye_97,14200000,2200000,411900,2300,2200,,,,0
linatejeiro8,Lina Tejeiro,4000000,4000000,295900,992,2400,,,,0
www.m4th.com,math!eu,6900,1300000,309200,6500,3500,,,,0
dovecameron,Dove Cameron,9000000,1800000,380500,4500,1300,,,,0
sjbleau,SJ,12300000,3600000,420300,1700,914,,,,0
ginescorreguela,Ginés correguela,776400,2800000,140500,2600,7700,,,,0
mrzeooficial,MR ZEO 🇩🇴,16100000,2000000,251100,2000,5900,,,,0
stellajero16,Vester Ajero,1200000,1100000,265700,10900,2500,,,,0
teokun711abc,テオくん@幸せ者,1200000,2800000,317600,1800,2600,,,,0
ajo.ozil,𝙆𝙪𝙧𝙣𝙞𝙖 van 𝙂𝙪𝙨𝙢𝙖𝙣,900000,6400000,250800,825,1600,,,,0
mr_paul.boy,"Паул, либо просто Паша",7200000,2200000,426000,3000,1100,,,,0
rblx.dreyzon,🤍 ДРЭЙЗОН • РОБЛОКС 🤍,1300000,1900000,234000,7400,1200,,,,0
mattiastanga,Mattia Stanga,2300000,1600000,242400,1300,8600,,,,0
hannahbahng,hannahbahng,1900000,1500000,471300,4100,1300,,,,0
haositofficial,HaositOfficial,1200000,1700000,344600,5600,936,,,,0
kdramas_klis,✨KLIS✨,860300,2800000,368500,1400,2300,,,,0
mhc_f_f,✧☽ 𝒹 𝓇 𝑒 𝒶 𝓂 𝒾 𝓃 𝑔 ☾✧,1100000,1700000,269900,1400,7000,,,,0
yurielkysojeda,Yurielkys Ojeda,12200000,4000000,481000,1300,667,,,,0
elsalsely00,🥇 السلسيلي 🥇,4300000,4600000,177200,612,4000,,,,0
mayanelsayed,Mayan El Sayed,3500000,4400000,263500,1200,2100,,,,0
wasyanka,Василий,2500000,1700000,124000,1000,16800,,,,0
vidhia_r,Vidhi_R,4400000,2700000,290600,3200,1600,,,,0
com.yamato0515,【コムドット】やまと,1700000,2000000,271000,4900,1900,,,,0
kaylamalecc,kayla,6600000,2200000,363100,4400,267,,,,0
munchieslab,Martín,2700000,2400000,180500,796,7600,,,,0
albert_cancook,Albert Niazhvinski,4000000,4200000,403400,1400,712,,,,0
juaniquilador,JuanSGuarnizo,8600000,2000000,452200,1600,2500,,,,0
cerenyaldz,Ceren Yaldız,9200000,2200000,164500,8500,1300,,,,0
thedannyphantom,danny,80100,1900000,177100,7800,2700,,,,0
cindylauw,CindyLauw,148600,2200000,323900,4500,439,,,,0
gehadhassann,Gehad hassan👸🏻,7300000,1400000,177000,3500,10700,,,,0
dudamaryah,dudamaryah,4100000,3000000,340700,2000,1400,,,,0
the.revival,Revival,392800,2200000,283800,1200,4400,,,,0
gavinmagnus,GavinMagnus,5200000,2000000,254900,6400,412,,,,0
ermmm.umm,user569215425698,2100,1900000,254500,2300,4800,,,,0
thegerbers_,🧡Маша и Роберт🧡,5300000,3700000,375300,2100,344,,,,0
hiagodosvideos,Hiago Marques,1200000,2600000,365400,2000,1600,,,,0
andweaso,Andrea,5900000,3000000,542100,1200,884,,,,0
luisvelody,Luis Velody,6200000,3300000,459900,910,1300,,,,0
yoshi30244781481,にっしー,3900000,4000000,409600,1200,837,,,,0
the_joe_gatto,joe_gatto,6500000,2900000,247700,1400,3200,,,,0
frankielapenna,Frankie LaPenna,1800000,4900000,411700,735,943,,,,0
.diana__tc,Diana TC,2900000,3200000,348700,1900,1100,,,,0
matsudake,M2DK/マツダ家の日常,4700000,8100000,199800,1200,833,,,,0
anokhinalz,Аnokhina Liza,35600000,2800000,374000,2800,379,,,,0
mranto,Anto Garcia,8200000,6500000,274700,1300,570,,,,0
iheartmemphis,iHeartMemphis🔥,12500000,4300000,260200,2300,687,,,,0
sobrevivente13,Edelson Ribeiro,4100000,2200000,188300,1700,6200,,,,0
pam_a_cake,Pam,4100000,3500000,487400,1600,334,,,,0
ardkth,𝐊𝐢𝐦 𝐀𝐑𝐝,1300000,1100000,350400,2000,6500,,,,0
cemresolmaz,cemre solmaz,10200000,2200000,180900,7200,976,,,,0
philipdefranco,Philip DeFranco,1900000,2500000,319200,2800,1300,,,,0
otakoyakisoba,otakoyakisoba,14100000,2800000,278800,1800,2300,,,,0
freeritzyralph,Ritzyralph,1400000,1500000,375400,3300,2400,,,,0
jhothsa,jhothsa,12300000,1700000,224700,1700,6700,,,,0
icebox,icebox,6200000,3000000,277200,3300,517,,,,0
tatiana1964_2,Татьяна,31000,1700000,12400,207,151800,,,,0
nmixx_official,NMIXX,1100000,1600000,318500,4200,2100,,,,0
bmbsh7,بمبش السيد♦️bimbsh♦️,3800000,1800000,289500,3800,2300,,,,0
jackjos3ph,Jack Joseph,2400000,1400000,246300,3500,5700,,,,0
bikedasher,Patrick,2200000,3300000,370400,2200,427,,,,0
benjikrol,Benji Krol,30300000,2400000,338900,3400,488,,,,0
djmariio,DjMaRiiO,983800,2200000,329200,1300,3000,,,,0
reeh__augusto,Reeh Augusto,3700000,2100000,371800,2500,1600,,,,0
onlyjayus,Bella Avila,17600000,2300000,344700,2600,1300,,,,0
sabrinacarpenter,Sabrina Carpenter,12000000,2200000,298800,2800,1900,,,,0
barbaracoura,Bárbara Coura,8000000,2400000,384300,2200,1200,,,,0
ngikuttrendaja,Ahmad Rizki,192800,3700000,304500,1500,1200,,,,0
rayssabuq,Rayssa Buq,5400000,1800000,326800,2600,2600,,,,0
olisboa,LISBOA,612000,3000000,505000,944,1100,,,,0
mimiermakeup,Mirta Miler,14500000,2700000,448600,2200,367,,,,0
verycooll_real,Very Cool,1400000,3100000,234500,1300,3000,,,,0
just.hamilton,Just Hamilton,2300000,1700000,271600,2900,3900,,,,0
michou_yt,Michou,6700000,3600000,256400,2800,456,,,,0
gregisms,Gregisms’ Neighborhood,2200000,975500,168000,6700,11600,,,,0
butt.erhand,Lucie,176400,2200000,201500,514,6200,,,,0
gbandme,GB and ME,5700000,1600000,250100,4800,2700,,,,0
fransfaisal_real,frans faisal,272900,2500000,278800,3300,926,,,,0
officialjellyroll,Jelly Roll,2400000,2300000,290800,2600,1800,,,,0
lossiblings_,Lossiblings🍭,23600000,2800000,396900,1800,863,,,,0
davidgetial,deivis,13300000,3200000,439400,1800,302,,,,0
zodiac.boyfriend,Zodiac Boyfriend🪐🔮,1600000,1600000,219700,3600,4700,,,,0
michellerenaud,Michelle Renaud,2300000,4200000,357800,1100,801,,,,0
kelvin__silvaa,Kelvin__silvaaa,3400000,2000000,163600,1100,7700,,,,0
user4350486101671,user4350486101671,16200000,1600000,302300,4700,1300,,,,0
jeison_giraldo,JeisonGiraldo,24600000,3400000,426500,1700,300,,,,0
chrisdelia,ChrisDElia,1700000,1800000,268500,643,5500,,,,0
lightskinkeisha,LightSkinKeisha,1900000,2000000,303200,1200,3500,,,,0
larasilvan,Tik Toker,15900000,1800000,351300,3400,1100,,,,0
la_lerma,LERMITA,11600000,2700000,354300,1200,1800,,,,0
duolingo,Duolingo,3400000,1500000,281100,4500,2300,,,,0
danythegaggio,Daniele Cabras,2700000,1400000,214200,1700,7800,,,,0
dari_wadha_home,Dari_wadha_home,1400000,2900000,182100,2400,2900,,,,0
pkllipe,Pk,16500000,2200000,383900,1600,1800,,,,0
aloserishere_,𝙇𝙤𝙨𝙚𝙧.,159400,1100000,165500,6600,8800,,,,0
olivertree,Oliver Tree,12500000,3000000,324100,1800,1100,,,,0
lonely.moods,:),354500,815500,214000,5400,10600,,,,0
jessnolimit999,Jess No Limit,5300000,2700000,264700,3100,877,,,,0
sooshimango,Sooshi Mango,483400,1100000,100700,3500,21700,,,,0
spider_slack,spider_slack,31600000,2600000,314300,1700,1700,,,,0
realmadrid,Real Madrid C.F.,11700000,2100000,300500,3000,1500,,,,0
leanadeeb,Leana Deeb,4200000,2600000,426900,1000,1500,,,,0
jonathanbecerraoficial,Jonathan Becerra,1200000,2300000,173400,1500,5500,,,,0
officialturk,Officialturk,26100,1100000,237000,7500,3400,,,,0
isabuenox,Isabelle Bueno,2800000,1900000,410400,2500,1000,,,,0
peachypollo,Emillee,1400000,2300000,480600,749,1700,,,,0
monabouchon_,Monabouchon,139100,1500000,127600,468,13700,,,,0
monabouchon_,Monabouchon,139100,1500000,127600,468,13700,,,,0
reymbayang,Rey,3300000,2300000,273300,1900,2400,,,,0
noahbeck,noah beck,32800000,2900000,342700,2300,439,,,,0
limaunipisofficial,limaunipisofficial,602600,1500000,107700,1300,15400,,,,0
therealhammytv,TheRealHammyTV,13300000,3700000,156500,884,3800,,,,0
matheusevitoriaofc,Matheus e Vitoria,6900000,2000000,317900,2200,2000,,,,0
7iprast,𝗶𝗡𝗦𝗢𝗠,3600000,1700000,163500,1100,8600,,,,0
oli_natu,Oli Natu,7900000,2900000,408300,1200,1100,,,,0
sebbylaz,Seb Laz,4100000,1800000,238600,5500,894,,,,0
r___.89,𝑀𝑖𝑠𝑡𝑒𝑟 𝑅𝑒𝑒𝑚𝑎 😾✨.,3500000,1800000,299800,3800,1300,,,,0
anwar,Anwar Jibawi,11700000,2500000,275900,1300,2500,,,,0
blake.snider,Blake Snider,4600,2800000,150700,967,5500,,,,0
alejwho,Alejandro,983500,1500000,279100,2500,4100,,,,0
anitta,Anitta,17200000,3800000,263400,1600,1000,,,,0
tangychu,Танги штоле,20900,1300000,259400,2100,5700,,,,0
newt,newt,9400000,2300000,378500,1400,1600,,,,0
brookemonk_,Brooke Monk,19000000,2700000,339600,2000,867,,,,0
psg,psg,25300000,2700000,319200,2200,777,,,,0
roy.0fficial,Roy.official,290800,1200000,108400,432,19600,,,,0
nicollefigueroaa,Nicolle Figueroa,9600000,2500000,343000,2500,546,,,,0
ucgj7,☝️Биполярочка👆,1500000,1800000,179800,6200,1800,,,,0
startup.mp4,startup.mp4,98000,944300,246600,4700,6400,,,,0
beca,Rebeca Barreto,21900000,2300000,297700,3000,819,,,,0
glebpiano,Глеб Пьяных,457300,3000000,75000,3100,8400,,,,0
emilyfauver,emily&ella,3300000,2500000,377900,1300,1500,,,,0
mikaylanogueira,Mikayla Nogueira,11200000,2200000,323800,3000,657,,,,0
ivanovik.83,ivanovik.1983,172700,2300000,91500,1100,11100,,,,0
francis.bourgeois,Francis Bourgeois,2300000,2000000,193000,1600,5000,,,,0
kaan.etm,Kaan,2600000,2000000,358400,2800,807,,,,0
ramonvitor,ramonvitor,2200000,1800000,397900,2500,1100,,,,0
imreddtv,REDD,883100,3200000,190800,1200,3100,,,,0
scarlettsspam2,scarlett,1100000,2200000,204700,4500,1200,,,,0
siscakohl,Sisca Kohl,10400000,2600000,306500,2200,986,,,,0
_andrewcurtiss,Andrew Curtis,2400000,1300000,274000,4800,2500,,,,0
_xndirizlky_,_xndi rizlky_,11500,3700000,166500,2200,1800,,,,0
kingmajesty_princessrose,Nelson and Rose,155000,1600000,109600,1300,13000,,,,0
serchexmx,Serchex,123100,1400000,265000,2900,3700,,,,0
hoaminzy_hoadambut,Hoà Minzy,4000000,3200000,345000,1800,423,,,,0
samsung_guy,Callum,117500,1800000,237200,4900,850,,,,0
arbooks__,Arbooks,392100,2100000,223800,2600,2600,,,,0
eduincaz5,Eduin Caz,5200000,2800000,278700,1200,1900,,,,0
agigigrigio,Giovanna Grigio,2000000,3600000,325000,1700,407,,,,0
kienreview90,Kien Review,9800000,4500000,254100,1300,850,,,,0
kallmewhateveryouwant,kallmewhateveryouwant,10900000,1800000,342300,3200,744,,,,0
kopke613,kopke613,3600000,1100000,141800,2200,13200,,,,0
colewherld,colegonzales,4900000,2100000,297200,696,3200,,,,0
zloinvfx,Stanislav Anisimov,135800,3300000,172600,899,3300,,,,0
yordy_yor,Yordy_Yor,1200000,3800000,146200,3700,671,,,,0
countingshleeps,blake,2100000,1700000,265600,2800,2600,,,,0
jasminechiswell,Jasmine Chiswell,15200000,3400000,404400,1500,212,,,,0
fjerry,FJerry,3000000,1400000,109500,3000,12600,,,,0
roportajadam,Mahsun Karaca,930100,2700000,157000,564,5100,,,,0
outtpig,Cameron Perez,1600000,1500000,350200,2200,2300,,,,0
qpark,Q Park,30200000,3200000,216000,1600,1800,,,,0
andcarli,Anderson Carli,6000000,4400000,234000,1800,500,,,,0
mitzakoff,lucasmitzakoff,1900000,1300000,270300,2400,4200,,,,0
itsjojosiwa,JoJo Siwa,40700000,3000000,370200,1700,383,,,,0
good.boy.ollie,Good Boy Ollie,2800000,2100000,344300,1100,2100,,,,0
alaa.ayyman,ALaa Ayman,8200000,3700000,364600,820,935,,,,0
jj_olatunji4,🇬🇧🇬🇧🇬🇧,1600000,2300000,334600,591,2400,,,,0
leaelui,Lea Elui,17000000,2800000,375900,1100,1200,,,,0
innkastar,Innkastar,11600000,2600000,193500,4000,666,,,,0
anilinom,anilinom,11800000,10600000,136800,441,1200,,,,0
mileshampton,WilsonsHouse,140300,1300000,299300,2400,3500,,,,0
mastercorbuzier,Deddy Corbuzier,2100000,3000000,215600,2800,791,,,,0
djraulitooficial,Dj Raulito,605300,3300000,167000,715,3500,,,,0
brandonspam_,Brandon Conner,7300000,2200000,281700,3200,558,,,,0
paulaverhoeven,Paula Verhoeven,997500,4900000,232700,1100,946,,,,0
madisonpettis,Madison Pettis,2600000,2900000,493500,1000,603,,,,0
arianagrande,arianagrande,26600000,1400000,333900,3900,963,,,,0
vekalife24,vekalife,2400000,1500000,116200,459,12600,,,,0
westbrouck,Mattie,8600000,1900000,423100,2200,655,,,,0
the.big.mike,The Big Mike,71500,1500000,176800,4200,4000,,,,0
.mats.ftl,❤️‍🔥Лёша Мэтс❤️‍🔥,6700,1700000,210200,1700,4600,,,,0
bilalfadilii,Bilal Fadili,958400,1800000,210400,2300,3700,,,,0
jaydafnwayda,JAYDA WAYDA,3200000,2200000,333400,1200,1900,,,,0
vzelivx,vzelivx,731300,2100000,271200,2600,1300,,,,0
benoit_chevalier,Benoît Chevalier,8700000,1700000,180900,3100,4200,,,,0
ninogashi,NinoGashi,1300000,1800000,179700,3200,3700,,,,0
twice_tiktok_official,TWICE,13900000,1200000,223800,6500,1800,,,,0
beniju03,BENIJU,2200000,1600000,304800,3800,716,,,,0
chourouk.model_official,Chourouk_model_official,4400000,3200000,270500,897,1700,,,,0
shabiraalulaadnan,Shabiraalula&Ayah,5100000,3200000,256400,1500,1200,,,,0
ryskalamarcysia,ryskalamarcysia,1800000,3100000,360900,1600,403,,,,0
namyulenka,Namy,6000000,2000000,366200,2100,901,,,,0
tu.terapeuta.en.tiktok,Leandro Olszanski,1600000,1600000,328500,1900,2300,,,,0
devincaherly,Devin Caherly,6900000,3600000,406600,1300,213,,,,0
itsmatheuscosta,Matheus Costa,4300000,2100000,235300,1700,2800,,,,0
virguleanimaleshow,VirguleAnimaleShow,850000,1200000,190800,1800,7700,,,,0
vtkh2004,Vũ Thị Khánh Huyền,7700000,2600000,321400,2000,588,,,,0
mateuspesce,Pesce,5700000,1700000,254900,2000,3000,,,,0
how.kev.eats,how.kev.eats,1800000,2500000,323000,1800,926,,,,0
zubarefff,Зубарев Александр,2900000,2000000,300100,1700,1900,,,,0
vancityreynolds,Ryan Reynolds,19700000,2300000,282800,1600,1700,,,,0
clecolucci,Clé Colucci,2900000,935100,165000,9400,4500,,,,0
mr.v1bez,MR.VIBEZ,853000,1400000,364200,1900,2300,,,,0
nosoychaparro,Luis Chaparro,2800000,2100000,360300,2500,320,,,,0
lilyxgarcia,Lily Garcia,8900000,1800000,418200,1900,906,,,,0
juanpazurita,Juanpa Zurita,12800000,3300000,397700,804,782,,,,0
juandaniel.ibarra,Daniel Ibarra,26600000,3300000,353700,1400,406,,,,0
juandaniel.ibarra,Daniel Ibarra,26600000,3300000,353700,1400,406,,,,0
maddiebools,Maddie,52900,1700000,99600,3600,8900,,,,0
abir.sag,Abir e sag,11000000,2500000,176900,2900,1700,,,,0
lexychaplin,Lexy,3000000,2000000,308200,2700,595,,,,0
mich_gzl,Michelle González,538300,3100000,220600,730,2200,,,,0
more.annapaul,More Anna,1500000,2700000,447800,1300,418,,,,0
ktlynraps,Ktlyn,1900000,2100000,226700,2000,2300,,,,0
yano4kaa.aaa,Yano4kaa.aa,3000000,1700000,267100,2200,2300,,,,0
baga..genius,Молодой Гений,721600,1900000,279700,1700,2200,,,,0
lelepons,Lele Pons,26800000,2200000,307400,1900,1100,,,,0
n.vv3,ناصر || 🇸🇦 alsubaie ..,1900000,3300000,158000,3200,642,,,,0
flakeysalt,Joshua weissman,6200000,2500000,352900,664,1600,,,,0
kikakiim,Kika Kim,29500000,2200000,296000,2200,918,,,,0
emilymariko,Emily Mariko,10100000,3000000,321700,1300,766,,,,0
milos.guzel,Milos,4800000,1900000,425500,1700,774,,,,0
hashbrotatoes,H&SH Brotatoes,390100,2200000,342600,1400,1300,,,,0
diana_aster,💗 DIANA ASTER 💗,10400000,2700000,337400,1800,417,,,,0
gabrielabee,GABI BEE,9300000,1200000,248000,5500,1200,,,,0
igorjansen,igorjansen,10600000,2200000,275700,2400,953,,,,0
ifluent,iFluent,2800000,1600000,174500,4000,3100,,,,0
mateus_hwang,Mateus Hwang,1900000,2100000,139600,5700,1200,,,,0
taimmm8,888,1000000,2000000,318800,1500,1600,,,,0
mandrake1984real,Giuseppe Mandrake Ninno,883800,1400000,180400,982,7000,,,,0
lisav_,ну лиз,1900000,1900000,370700,1300,1400,,,,0
chadio,Chad Epps 🦒,6900000,1500000,240400,3600,1700,,,,0
rachyohumlek,รัชโยตัวปลอมนอกนั้นจริงหมด,1600000,4100000,349700,951,397,,,,0
aiki_kr,아이키 Aiki,1800000,1700000,363200,2000,1100,,,,0
itsmenicksmithy,Nick Smithyman 🤓,6400000,1500000,265000,3100,1900,,,,0
alexiatamiraa,🍓Alexia Tamira🍓,7500000,2300000,312000,2200,479,,,,0
v1ctoryuh3.0,sexy lady,1600000,1600000,303100,1700,2200,,,,0
taavmaki,Taav,686900,1300000,217200,2700,4000,,,,0
esnyrdump,esnyrdump,603800,1800000,271600,2200,1900,,,,0
andersonprofetaa,Anderson Profeta,2500000,1200000,151700,2200,8200,,,,0
jason.nms,Jayway,652600,1500000,254900,2400,2500,,,,0
cassholland,Cassie Holland,1500000,2000000,381900,1500,917,,,,0
pokrov,АНЯ ПОКРОВ🥑,16300000,2200000,287600,2100,895,,,,0
rhyadmuslim,Rhyad ☝️,344000,1000000,222200,2400,5800,,,,0
bretmanrock,bretmanrock,14000000,2600000,361800,1500,492,,,,0
alvesdudas,mariê,855700,1400000,349900,2100,1800,,,,0
monika.kociolek,Monika Kociołek,2600000,1200000,196800,6600,1300,,,,0
sanae33359,San AE,1700000,2700000,224100,1200,1900,,,,0
iben_ma,Iben M.A.,5600000,2500000,191800,3500,455,,,,0
fes.ti_,festi,1200000,1200000,264100,3600,2300,,,,0
imanthonyvargas,Anthony Vargas,6500000,1900000,341400,2600,268,,,,0
wicsur,♥️БИСКАС♥️,7000000,1600000,126500,8900,248,,,,0
sxmplyni,Simply Ni🌱,1600000,2600000,248800,1400,1400,,,,0
itsqcp,QCP,9400000,2500000,371300,1100,888,,,,0
ssanwhere,hassan,369400,1300000,237800,3100,3100,,,,0
lizzebethmuaa,Lizzebethmuaa,3600000,3600000,357100,721,705,,,,0
crispy,Crispy Concords,1200000,2900000,400000,986,593,,,,0
blythe,Andrea Brillantes,17300000,2300000,382500,1200,960,,,,0
kmiloop,Kmilooo,796900,1200000,228200,1300,5600,,,,0
ilhamputrayuda,Ilham Yuda,1600000,2800000,326300,1200,814,,,,0
anyaischuk,Anya Ischuk,10500000,2700000,317200,1800,341,,,,0
diegodiego_,Diego Cruz,7200000,2100000,258500,1800,1600,,,,0
winnermaxyt,WinnerMax,1800000,2500000,220200,968,2300,,,,0
rafaelsantos,Rafael Santos,16700000,1800000,289700,2700,736,,,,0
lkzinhu,LK,14300000,2400000,346900,1200,998,,,,0
mercuri_88,Manuel Mercuri,19000000,2700000,238700,1600,1200,,,,0
saxcy,saxcy,747200,2600000,271500,1300,1300,,,,0
mdmotivator,Zachery Dereniowski,6200000,2500000,357100,1400,599,,,,0
c.tangana,C. Tangana,372100,4400000,200300,735,1300,,,,0
nuhchez,Nuhchez,5700000,1700000,248500,2000,2200,,,,0
mieayamthebstt,Unaa🍜,13000000,2400000,264700,2000,827,,,,0
ayutingting,Ayu Ting Ting,5800000,2400000,176400,2100,2100,,,,0
yailinlamasviraloficial_,Yailin La Más Viral,2800000,2500000,210000,3000,365,,,,0
sehataqua,SehatAQUA,249300,23300000,67400,647,467,,,,0
jordanemel,Jordan e Mel,8700000,2400000,183600,1000,3000,,,,0
gingerbilly1,GingerBilly1,5700000,1100000,163700,954,8700,,,,0
samkamusic,INSTASAMKA,12400000,1800000,227900,2700,1500,,,,0
jaxwritessongs,Jax,8300000,1900000,220100,2800,1500,,,,0
sthefane.matos,Sthefane Matos,5100000,3200000,261700,1400,603,,,,0
son0_0,손새벽,2700000,3900000,216800,1500,514,,,,0
flickerspark_,flickerspark_,1200000,1700000,446700,1200,1100,,,,0
kostyxd,Sergi Cabrer,2100000,2100000,290900,1700,1100,,,,0
mahalinzi,Mahalini Raharja,655500,2700000,251900,1600,917,,,,0
jesusangelperezoficial,🚨 ESE PÉREZ 🚨,3500000,1700000,186500,898,4600,,,,0
tarankaaa,Dasha Taran,8000000,1700000,283400,2400,1000,,,,0
its.michhh,Michel Chavez,28600000,2200000,340400,1900,369,,,,0
aileenchristineee,Aileenchristineee,5600000,1700000,310000,1100,2100,,,,0
mads.yo,Madison,12700000,3100000,322900,954,710,,,,0
itstalasafwan,تالا صفوان | Tala Safwan🌵👸🏽,3700000,2100000,138200,5200,502,,,,0
karenos11,𝐊𝐚𝐫𝐞𝐧 𝐎𝐬,6100000,2000000,367200,2000,242,,,,0
jojohfsex,fullhyp3,1600000,1400000,262100,2700,1800,,,,0
nansartt,nansartt,1300000,2100000,422700,1400,456,,,,0
aviranisha,Avira Nisha,3600000,2500000,310600,1800,344,,,,0
03emergenxy,meyes not mayes,432500,3400000,215900,1700,561,,,,0
nuun____,Nuun 🍂,271800,651600,118100,1500,20000,,,,0
iloveyourmomscatt,,8200,1300000,159300,4900,3300,,,,0
thongsoaicavip,Thông Soái Ca,1600000,2700000,172000,2600,971,,,,0
ivanantoniochacon,Tik Toker,7200000,1300000,461600,1900,806,,,,0
jhekhoos,Jecus Andrei,3800000,1900000,235900,1300,2400,,,,0
kimpeeee,Kim Lajara,5800000,3400000,298500,507,1100,,,,0
birdsarentreal,Birds Aren’t Real,852800,1500000,263500,2400,1800,,,,0
markoterzo,M A R K O,2500000,1800000,168700,4200,1200,,,,0
nnatalieaguilar,natalie & the aguilars,4200000,2800000,373600,702,845,,,,0
halinhofficial,Ha Linh Official,1000000,2600000,187300,2800,604,,,,0
sosiadoneymar,Eigon Oliver,6000000,2500000,179900,1800,1800,,,,0
saadradio,Saad,1700000,3400000,260200,1200,670,,,,0
leleburnier,LELÊ BURNIER,1400000,1400000,326000,2700,958,,,,0
thelandofboggs,The Land Of Boggs,5200000,2600000,367700,857,829,,,,0
yuna1_27,🐚Yuna_유나🤍,2200000,1600000,291000,1400,2000,,,,0
abaas_majid_,عباس ماجد,2000000,2100000,206900,2200,1500,,,,0
muhammetalisarii,Muhammet Ali Sarı,264100,2900000,128400,1400,3000,,,,0
theluciole,Luciole,955000,1700000,395200,2000,428,,,,0
dafaatmja,Dafaatmja,9900000,2000000,162600,4100,856,,,,0
pushistyk,VL,13300,1900000,272200,1600,1600,,,,0
juliano,julianofloss,6700000,2100000,306700,1600,851,,,,0
nicholas_crown,Nicholas Crown,1600000,2900000,490500,863,262,,,,0
oipedrodaher,Pedro Daher,3100000,1100000,206600,1800,5100,,,,0
jimena.jimenezr,Jimena,22800000,1700000,311700,1000,2000,,,,0
mellacarli,Mella Carli,1700000,1400000,220500,2100,3000,,,,0
viktoriya__bars,Viktoriya Bars,139700,1300000,56600,2200,19400,,,,0
missmarymmouser,missmarymmouser,2900000,1900000,255500,2700,570,,,,0
coleandersonj,Cole Anderson James,1500000,1600000,280500,1200,2300,,,,0
pumbacaracal,PumbaCaracal,3500000,2100000,130900,3300,2600,,,,0
the_green_car,The Green Car,168800,4300000,339800,662,417,,,,0
providingforthecommunity,Russel Cameron,313600,1600000,114600,5500,3400,,,,0
hannahstocking,Hannah Stocking,25900000,3000000,338400,967,582,,,,0
pk.99999,PHUKLA,1200000,1500000,288200,1700,1900,,,,0
lilchefmil,Milan Bhayana,861100,3000000,501100,678,367,,,,0
jeremylynch,JeremyLynch,18600000,1700000,248000,2600,1200,,,,0
ph1lzatiktok,Ph1LzA,2200000,980500,309200,4000,1100,,,,0
jack_papho69,แจ็ก แปปโฮ,6300000,2800000,344100,766,862,,,,0
cesarpantoja.n,Cesar Pantoja,12400000,2000000,305400,2200,317,,,,0
yajanaaa,Yajana Cano,5000000,1500000,255300,767,3300,,,,0
dilaraaduman,Dilara Duman,1900000,3400000,175800,653,2000,,,,0
justinbieber,Justin Bieber,23600000,1700000,197500,3200,1400,,,,0
lukedonkin,Luke Donkin,2300000,1500000,199000,2900,2300,,,,0
alexxxxan,котик,1700000,1700000,307500,831,2100,,,,0
monsieurpof,Monsieur Pof,2800000,1700000,340600,1800,938,,,,0
dennnyn,DENII,3300000,1000000,136400,773,10500,,,,0
lauratheux,Laura Theux,208300,3500000,234700,846,1000,,,,0
com.hyuga1117,【コムドット】 ひゅうが,995500,1200000,199800,4900,1500,,,,0
robegrill,Roberto Morales,10200000,1900000,209500,1100,2700,,,,0
emoglam,емоglaм,1500000,2700000,307300,1000,806,,,,0
luvtheflex,taryn,1400000,1900000,156900,3800,1300,,,,0
jombospice,JOMBOSPICE,7200000,2500000,239800,1900,617,,,,0
rusuh_brooo,RUSUH BROOO,27500,840600,150800,1500,10400,,,,0
shandyjuragan99,Shandyjuragan99,1100000,3000000,183500,1900,869,,,,0
pjmxck,𝐂𝐡𝐢𝐤𝐚⁷,1000000,738700,263200,2700,5000,,,,0
kamashrafi,kamran,48200,1200000,231600,2600,2800,,,,0
najihmumtaz,Najih Mumtaz945,682300,1600000,93900,4500,5500,,,,0
chelseahartisme,Chelsea Hart,1500000,3500000,138900,0,3100,,,,0
