handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg,category_1_unified,category_2_unified,category_primary,if_exist
dualipa,DUA LIPA,Music,,81600000,Mexico,2200000,2700000,Music,,Music,1
dudewithsign,Seth,,,8100000,United States,400000,628500,,,,0
dukeandduchessofcambridge,Duke and Duchess of Cambridge,Family,Finance & Economics,13500000,,0,214200,Lifestyle,Info/Business,Lifestyle,1
dukissj,Ya Supiste,Music,,9000000,Argentina,607200,1100000,Music,,Music,1
dylanminnette,Dylan Minnette,Music,Cinema & Actors/actresses,7300000,United States,215700,350400,Music,Entertainment,Music,1
dylansprouse,Dylan Sprouse,Cinema & Actors/actresses,,9300000,United States,350300,549800,Entertainment,,Entertainment,1
e_milygarcia,Emily Garcia,Cinema & Actors/actresses,,11000000,Brazil,230100,380500,Entertainment,,Entertainment,1
earthpix,🌎  EarthPix  🌎,Nature & landscapes,Photography,22700000,United States,118700,145900,Lifestyle,Lifestyle,Lifestyle,1
easportsfifa,EA SPORTS FIFA,Sports with a ball,,25800000,Spain,70900,118300,Sports,,Sports,1
ebi,EBI,Music,,10300000,Iran,193600,260500,Music,,Music,1
ederbez,Eugenio Derbez,Cinema & Actors/actresses,Lifestyle,18100000,Mexico,248300,278900,Entertainment,Lifestyle,Entertainment,1
egorkreed,Егор Крид | #HeartBreakKid,Music,,14700000,Russia,322600,396900,Music,,Music,1
eilirjani,Elton ILIRJANI,Lifestyle,,9500000,Albania,423900,611600,Lifestyle,,Lifestyle,1
elcinsangu,Elçin Sangu,Cinema & Actors/actresses,Lifestyle,8300000,Turkey,284600,342800,Entertainment,Lifestyle,Entertainment,1
eliana,Eliana Michaelichen,Music,Shows,29600000,Brazil,119300,151500,Music,Entertainment,Music,1
ellenpompeo,Ellen Pompeo,Cinema & Actors/actresses,Lifestyle,10000000,Brazil,285800,495800,Entertainment,Lifestyle,Entertainment,1
elnazshakerdoost,Elnaz Shakerdoost🎬,Cinema & Actors/actresses,,9500000,Iran,219000,295700,Entertainment,,Entertainment,1
elrodrigocontreras,ROD🥴,Lifestyle,,12700000,Mexico,563100,620800,Lifestyle,,Lifestyle,1
elrubiuswtf,el rubius WTF,Computers & Gadgets,,16200000,Mexico,1400000,1500000,Tech/Gaming,,Tech/Gaming,1
emilia_clarke,,Cinema & Actors/actresses,,27000000,India,490500,617200,Entertainment,,Entertainment,1
emiliamernes,Emilia Mernes,Music,,4900000,Argentina,549500,1000000,Music,,Music,1
eminem,Marshall Mathers,Cinema & Actors/actresses,Music,35600000,Iran,771200,993500,Entertainment,Music,Entertainment,1
emmachamberlain,emma chamberlain,Lifestyle,Shows,15300000,United States,1100000,1700000,Lifestyle,Entertainment,Lifestyle,1
emmaroberts,Emma Roberts,Cinema & Actors/actresses,,17700000,United States,266400,392400,Entertainment,,Entertainment,1
emrata,Emily Ratajkowski,Modeling,,29000000,United States,475400,758700,Beauty/Fashion,,Beauty/Fashion,1
enhypen,ENHYPEN,,,9600000,Indonesia,1500000,2100000,,,,0
erling.haaland,Erling Braut Haaland,,,14800000,Brazil,541800,811000,,,,0
esbilgic,Esra Bilgic,Lifestyle,Modeling,6700000,India,319100,407100,Lifestyle,Beauty/Fashion,Lifestyle,1
ester_exposito,Ester 🌙,Cinema & Actors/actresses,,29000000,Russia,2900000,4300000,Entertainment,,Entertainment,1
eunwo.o_c,차은우,Music,Lifestyle,27400000,Indonesia,3600000,4500000,Music,Lifestyle,Music,1
euphoria,euphoria,,,7900000,United States,1100000,1800000,,,,0
evaluna,Evaluna Montaner de Echeverry,Family,Music,19800000,Argentina,812100,1100000,Lifestyle,Music,Lifestyle,1
evcenf,Fahriye Evcen Özçivit,Lifestyle,Beauty,12800000,Turkey,375600,473300,Lifestyle,Beauty/Fashion,Lifestyle,1
ewsbdi,로운,,,4200000,Indonesia,488600,730200,,,,0
f1,FORMULA 1®,Racing Sports,,18300000,Italy,266600,337700,Sports,,Sports,1
fabriziorom,Fabrizio Romano,Literature & Journalism,Shows,6400000,Italy,328900,570600,Info/Business,Entertainment,Info/Business,1
fadiljaidi,Fadil Jaidi,Lifestyle,,7000000,Indonesia,581500,873000,Lifestyle,,Lifestyle,1
faz3,Fazza,Lifestyle,,14000000,United Arab Emirates,257300,337900,Lifestyle,,Lifestyle,1
fcbarcelona,FC Barcelona,Sports with a ball,,107100000,Indonesia,450100,687900,Sports,,Sports,1
fcbayern,FC Bayern,Sports with a ball,,31800000,Germany,115000,167400,Sports,,Sports,1
fedez,FEDEZ,Music,,13700000,Italy,725500,1000000,Music,,Music,1
feliciathegoat,"Tyler, The Creator",Music,,12400000,United States,1000000,1700000,Music,,Music,1
felicyangelista_,Felicya Angelista,Family,,21000000,Indonesia,107000,147800,Lifestyle,,Lifestyle,1
felipeneto,Felipe Neto 🦉,Lifestyle,,15400000,Brazil,166100,236000,Lifestyle,,Lifestyle,1
fifaworldcup,FIFA World Cup,Sports with a ball,,25500000,India,71200,109100,Sports,,Sports,1
florencepugh,Florence Pugh,Humor & Fun & Happiness,Cinema & Actors/actresses,7200000,United States,926400,1400000,Entertainment,Entertainment,Entertainment,1
for_everyoung10,장원영 WONYOUNG,,,3600000,Indonesia,733900,926900,,,,0
fortnite,Fortnite,Computers & Gadgets,,26100000,United States,102100,120300,Tech/Gaming,,Tech/Gaming,1
francety,Francia James,Adult content,,10600000,India,250400,328300,,,,0
francinyehlke,FЯAN,Beauty,,15200000,Brazil,86400,188600,Beauty/Fashion,,Beauty/Fashion,1
frenchmontana,French Montana,Music,,24500000,United States,91500,151600,Music,,Music,1
frenkiedejong,Frenkie de Jong,Sports with a ball,,10000000,Spain,528600,792500,Sports,,Sports,1
fuckjerry,FUCKJERRY,Humor & Fun & Happiness,,16600000,United States,405300,523100,Entertainment,,Entertainment,1
fuji_an,Fujianti Utami Putri,,,10300000,Indonesia,531800,1300000,,,,0
gabigol,Gabi 🇧🇷 Lil Gabi,Sports with a ball,,9600000,Brazil,282000,427000,Sports,,Sports,1
gal_gadot,Gal Gadot,Cinema & Actors/actresses,,77000000,United States,597500,771600,Entertainment,,Entertainment,1
galatasaray,Galatasaray,Sports with a ball,,11100000,Turkey,254400,307800,Sports,,Sports,1
garethbale11,Gareth Bale,Sports with a ball,,46300000,Spain,402200,633900,Sports,,Sports,1
gatenm123,Gaten Matarazzo,Music,Cinema & Actors/actresses,13600000,Brazil,449500,594100,Music,Entertainment,Music,1
geneliad,Genelia Deshmukh,Cinema & Actors/actresses,,9600000,India,444400,550600,Entertainment,,Entertainment,1
georgenotfound,GeorgeNotFound,,,3100000,United States,997800,1100000,,,,0
georginagio,Georgina Rodríguez,Lifestyle,Fashion,36500000,India,2500000,3500000,Lifestyle,Beauty/Fashion,Lifestyle,1
gessicakayane,GKAY,Shows,Humor & Fun & Happiness,19300000,Brazil,173600,357900,Entertainment,Entertainment,Entertainment,1
ggonekim,,,,5100000,Indonesia,441600,542600,,,,0
gianlucavacchi,Gianluca Vacchi,Lifestyle,,22200000,Brazil,511400,787200,Lifestyle,,Lifestyle,1
giannis_an34,Giannis Antetokounmpo,Sports with a ball,,12300000,United States,217800,344600,Sports,,Sports,1
gigihadid,Gigi Hadid,Modeling,Lifestyle,73200000,United States,1900000,2800000,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
gildovigor,GIL DO VIGOR,,,15000000,Brazil,442500,612200,,,,0
gima_ashi,Garima Chaurasia 💙,Lifestyle,,13900000,India,145100,197800,Lifestyle,,Lifestyle,1
gioewbank,Giovanna Ewbank,Cinema & Actors/actresses,Modeling,28000000,Brazil,181400,290600,Entertainment,Beauty/Fashion,Entertainment,1
gisele,Gisele Bündchen,Modeling,Fashion,18900000,Brazil,274600,408000,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
goar_avetisyan,Goar Avetisyan,Beauty,,11500000,Russia,510500,707900,Beauty/Fashion,,Beauty/Fashion,1
golfarahani,Golshifteh Farahani,Cinema & Actors/actresses,,12600000,Iran,307500,395700,Entertainment,,Entertainment,1
grantgust,Grant Gustin,Cinema & Actors/actresses,Fashion,7800000,Brazil,343400,487300,Entertainment,Beauty/Fashion,Entertainment,1
greeicy,Greeicy,Shows,Cinema & Actors/actresses,20400000,Colombia,201400,270900,Entertainment,Entertainment,Entertainment,1
grefg_official,TheGrefg,Computers & Gadgets,Machinery & Technologies,7100000,Spain,440100,546100,Tech/Gaming,Tech/Gaming,Tech/Gaming,1
gucci,Gucci Official,Accessories & Jewellery,Clothing & Outfits,47900000,United States,57900,74300,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
gururandhawa,Guru Randhawa,Music,,31500000,India,110800,135400,Music,,Music,1
gusein.gasanov,ГУСЕЙН ГАСАНОВ,Shows,,21000000,Russia,524500,786100,Entertainment,,Entertainment,1
gusttavolima,🏛 Gusttavo Lima 🏛,Music,,42900000,Brazil,46900,79800,Music,,Music,1
hadise,Hadise,Music,Shows,13700000,Turkey,220700,257200,Music,Entertainment,Music,1
haechanahceah,HAECHAN,,,2700000,,0,2100000,,,,0
haileesteinfeld,hailee steinfeld,Cinema & Actors/actresses,,18200000,United States,1500000,1900000,Entertainment,,Entertainment,1
haileybieber,Hailey Rhode Baldwin Bieber,Lifestyle,Modeling,42200000,United States,1800000,2400000,Lifestyle,Beauty/Fashion,Lifestyle,1
hakkiakdenizz,hakki akdeniz,Business & Careers,,17600000,Russia,120200,174400,Info/Business,,Info/Business,1
handemiyy,Hande Erçel,Cinema & Actors/actresses,,27300000,Turkey,2100000,2800000,Entertainment,,Entertainment,1
hannahstocking,Hannah Stocking,Modeling,,21000000,United States,237200,337800,Beauty/Fashion,,Beauty/Fashion,1
hardikpandya93,Hardik Himanshu Pandya,Sports with a ball,,20600000,India,860300,1100000,Sports,,Sports,1
harrykane,Harry Kane,Sports with a ball,,12300000,United Kingdom,148300,204400,Sports,,Sports,1
harrystyles,,Music,Fashion,43300000,Brazil,2900000,3900000,Music,Beauty/Fashion,Music,1
hassan_reyvandi,hasan reyvandi حسن ریوندی,Cinema & Actors/actresses,Humor & Fun & Happiness,18700000,Iran,330100,456500,Entertainment,Entertainment,Entertainment,1
hegdepooja,Pooja Hegde,Cinema & Actors/actresses,,18800000,India,831700,959300,Entertainment,,Entertainment,1
helen_yes1,Елена Сажина,Cinema & Actors/actresses,,10500000,Russia,342400,442600,Entertainment,,Entertainment,1
henrycavill,Henry Cavill,Cinema & Actors/actresses,,19700000,Brazil,795100,966500,Entertainment,,Entertainment,1
heybiblee,이성경,Modeling,,13500000,Indonesia,971100,1300000,Beauty/Fashion,,Beauty/Fashion,1
hi_high_hiy,황인엽,Cinema & Actors/actresses,,12900000,South Korea,2600000,3000000,Entertainment,,Entertainment,1
hi_songjoongki,송중기 songjoongki official,Cinema & Actors/actresses,,8800000,Indonesia,1700000,2400000,Entertainment,,Entertainment,1
hi_sseulgi,슬기 Seulgi,Modeling,,11900000,Indonesia,849600,1100000,Beauty/Fashion,,Beauty/Fashion,1
hichasestokes,,Lifestyle,,7400000,United States,640900,959800,Lifestyle,,Lifestyle,1
hilaryduff,Hilary Duff,Cinema & Actors/actresses,,20600000,United States,147300,188200,Entertainment,,Entertainment,1
hm_son7,Son HeungMin(손흥민)🇰🇷,,,6000000,Brazil,395900,644200,,,,0
holyhaein,정해인,,,9700000,Indonesia,2100000,2600000,,,,0
hoooooyeony,Hoyeon,Lifestyle,,23700000,South Korea,2000000,2700000,Lifestyle,,Lifestyle,1
houseofhighlights,House of Highlights,Sports with a ball,,32700000,United States,64600,117200,Sports,,Sports,1
hrithikroshan,Hrithik Roshan,Cinema & Actors/actresses,,41900000,India,638300,805300,Entertainment,,Entertainment,1
hshq,Harry Styles HQ,Music,Cinema & Actors/actresses,5500000,United States,488100,859100,Music,Entertainment,Music,1
huddy,Chase Hudson,Lifestyle,Art/Artists,11900000,Brazil,228400,317800,Lifestyle,Lifestyle,Lifestyle,1
humansofny,Humans of New York,Lifestyle,Photography,11800000,United States,181900,215400,Lifestyle,Lifestyle,Lifestyle,1
hunterschafer,Hunter,,,7100000,United States,957200,1600000,,,,0
hyeri_0609,혜리,Music,,7000000,South Korea,447600,539000,Music,,Music,1
hyunah_aa,Hyun Ah,Music,,17600000,South Korea,378100,448700,Music,,Music,1
hziyech,Hakim Ziyech,Sports with a ball,,6000000,Morocco,348400,476000,Sports,,Sports,1
hztttao,Z.TAO🔴黄子韬,Music,,11300000,Indonesia,253100,281300,Music,,Music,1
i_m_hendery,Hi👉🏻im Hendery👈🏻,,,6000000,United States,965500,1300000,,,,0
i_nivethathomas,Nivetha Thomas,Cinema & Actors/actresses,,5900000,India,395300,447000,Entertainment,,Entertainment,1
iambeckyg,Becky G,Music,,31200000,Mexico,679200,817400,Music,,Music,1
iamcardib,Cardi B,Music,Fashion,127200000,United States,2300000,3300000,Music,Beauty/Fashion,Music,1
iamferv,fer,Lifestyle,Art/Artists,8800000,Mexico,1000000,1500000,Lifestyle,Lifestyle,Lifestyle,1
iamhalsey,halsey,Music,,28900000,United States,793700,1000000,Music,,Music,1
iammichelemorroneofficial,Michele Morrone,Lifestyle,Cinema & Actors/actresses,12900000,Brazil,654100,938900,Lifestyle,Entertainment,Lifestyle,1
iampauloandre,Paulo André 🏁,Lifestyle,,6100000,Brazil,122200,424400,Lifestyle,,Lifestyle,1
iamsrk,Shah Rukh Khan,Cinema & Actors/actresses,,28600000,India,717000,909700,Entertainment,,Entertainment,1
iamzlatanibrahimovic,Zlatan Ibrahimović,Sports with a ball,,52900000,Italy,306700,473100,Sports,,Sports,1
iansomerhalder,iansomerhalder,Cinema & Actors/actresses,,22500000,United States,527600,788900,Entertainment,,Entertainment,1
ibaillanos,Ibai,Art/Artists,,6800000,Spain,859100,1200000,Lifestyle,,Lifestyle,1
ileana_official,Ileana D'Cruz,Cinema & Actors/actresses,,14100000,India,286000,347700,Entertainment,,Entertainment,1
imhyoseop,안효섭,Lifestyle,,6000000,Indonesia,1200000,1400000,Lifestyle,,Lifestyle,1
imouniroy,mon,Cinema & Actors/actresses,,22600000,India,238900,290700,Entertainment,,Entertainment,1
imsebastianstan,Sebastian Stan,Shows,Cinema & Actors/actresses,9000000,United States,566100,672900,Entertainment,Entertainment,Entertainment,1
indiancricketteam,Team India,Sports with a ball,,23900000,India,223200,260300,Sports,,Sports,1
indiaroyale,India,Lifestyle,,4000000,United States,384500,1100000,Lifestyle,,Lifestyle,1
inijedar,Jessica Iskandar Verhaag,Cinema & Actors/actresses,,29400000,Indonesia,74500,99700,Entertainment,,Entertainment,1
instagram,Instagram,Photography,,487200000,India,352300,467400,Lifestyle,,Lifestyle,1
iqbaal.e,iqbaal ramadhan,Cinema & Actors/actresses,,13400000,Indonesia,271400,465900,Entertainment,,Entertainment,1
irinashayk,irinashayk,Modeling,,17900000,Russia,121800,169000,Beauty/Fashion,,Beauty/Fashion,1
iscoalarcon,Isco Alarcon Suarez,Sports with a ball,,23300000,Spain,142700,206200,Sports,,Sports,1
isisvalverde,isis valverde,Cinema & Actors/actresses,Lifestyle,27800000,Brazil,79400,117200,Entertainment,Lifestyle,Entertainment,1
its.michhh,Michel Chavez,,,5300000,Mexico,605100,741200,,,,0
itsmarziapie,Marzia Kjellberg,Beauty,Lifestyle,8200000,United States,603200,705100,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
itzy.all.in.us,ITZY,Music,,15800000,Indonesia,761500,930800,Music,,Music,1
j.m,JIMIN of BTS,,,32700000,,12700000,12700000,,,,0
jackharlow,Jack Harlow,Lifestyle,Music,5100000,United States,330800,618400,Lifestyle,Music,Lifestyle,1
jacksepticeye,Jacksepticeye,Computers & Gadgets,Machinery & Technologies,7700000,United States,277700,322300,Tech/Gaming,Tech/Gaming,Tech/Gaming,1
jacksonwang852g7,Jackson Wang,Music,,27300000,China,950100,1100000,Music,,Music,1
jacobelordi,Jacob Elordi,Cinema & Actors/actresses,,13200000,Brazil,997400,1600000,Entertainment,,Entertainment,1
jacquelinef143,Jacqueline Fernandez,Cinema & Actors/actresses,,59300000,India,322000,391800,Entertainment,,Entertainment,1
jadepicon,JADE 🌪,Modeling,Fashion,19400000,Brazil,375200,818400,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
jailyneojeda,Jailyne Ojeda Ochoa,Modeling,Lifestyle,14100000,United States,183100,253700,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
jaimelorentelo,El chaval,Cinema & Actors/actresses,,14500000,Brazil,285100,381800,Entertainment,,Entertainment,1
jairmessiasbolsonaro,Jair M. Bolsonaro,Finance & Economics,Business & Careers,19500000,Brazil,150900,212600,Info/Business,Info/Business,Info/Business,1
jakepaul,Jake Paul,Cinema & Actors/actresses,,19200000,United States,278200,465100,Entertainment,,Entertainment,1
jamescharles,James Charles,Beauty,,23300000,United States,293900,432000,Beauty/Fashion,,Beauty/Fashion,1
jamesrodriguez10,James Rodríguez,Sports with a ball,,49100000,Colombia,506000,768300,Sports,,Sports,1
jamorant,12 🥷🏽🖤,Lifestyle,Sports with a ball,5900000,United States,332900,537800,Lifestyle,Sports,Lifestyle,1
janhvikapoor,Janhvi Kapoor,Lifestyle,Cinema & Actors/actresses,16100000,India,951300,1100000,Lifestyle,Entertainment,Lifestyle,1
jannatzubair29,Jannat Zubair Rahmani,Cinema & Actors/actresses,,41200000,India,614700,748600,Entertainment,,Entertainment,1
jaspritb1,jasprit bumrah,Lifestyle,,9500000,India,466500,536000,Lifestyle,,Lifestyle,1
jaybnow.hr,LIM JAE BEOM,Music,,6600000,Brazil,561300,731700,Music,,Music,1
jaydacheaves,JAYDA WAYDA,Clothing & Outfits,,7000000,United States,128500,381300,Beauty/Fashion,,Beauty/Fashion,1
jbalvin,J Balvin,Music,,51900000,Mexico,273600,363000,Music,,Music,1
jennaortega,Jenna Ortega,Cinema & Actors/actresses,Lifestyle,7400000,United States,257100,366100,Entertainment,Lifestyle,Entertainment,1
jennierubyjane,J,Music,,64800000,Indonesia,6200000,7400000,Music,,Music,1
jennifer.garner,Jennifer Garner,Cinema & Actors/actresses,,12500000,United States,255600,289400,Entertainment,,Entertainment,1
jenniferaniston,Jennifer Aniston,Cinema & Actors/actresses,,40100000,Brazil,1600000,2300000,Entertainment,,Entertainment,1
jenniferwinget1,Jennifer Winget,Cinema & Actors/actresses,,12300000,India,322300,391700,Entertainment,,Entertainment,1
jennmuriel,Jenn muriel,Lifestyle,Modeling,5500000,Colombia,451500,562600,Lifestyle,Beauty/Fashion,Lifestyle,1
jensenackles,Jensen Ackles,Cinema & Actors/actresses,,9100000,United States,504600,655900,Entertainment,,Entertainment,1
jeremyrenner,Jeremy Renner,Shows,Cinema & Actors/actresses,17200000,United States,192900,230800,Entertainment,Entertainment,Entertainment,1
jeromepolin,Jerome Polin Sijabat ジェローム,Education,Humor & Fun & Happiness,6500000,Indonesia,424200,622400,Info/Business,Entertainment,Info/Business,1
jesselingard,JLingz,Sports with a ball,,9500000,United Kingdom,192100,294500,Sports,,Sports,1
jessicah_o,Jessi / 제시,Music,,9700000,United States,874500,1100000,Music,,Music,1
jessicajane99,Jessica Jane,Lifestyle,,6000000,Indonesia,441400,582300,Lifestyle,,Lifestyle,1
jharden13,James Harden,Sports with a ball,,11700000,United States,137500,236500,Sports,,Sports,1
jheneaiko,Jhené Aiko Efuru Chilombo 🔮,Music,,14000000,United States,273800,481100,Music,,Music,1
jichangwook,지창욱,Cinema & Actors/actresses,,19200000,Indonesia,920200,1200000,Entertainment,,Entertainment,1
jimmyfallon,Jimmy Fallon,Shows,Humor & Fun & Happiness,21300000,United States,97200,120900,Entertainment,Entertainment,Entertainment,1
jin,Jin of BTS,,,32000000,United States,11100000,11100000,,,,0
jin_bighitentertainment,JIN (김석진),Lifestyle,,8500000,Indonesia,1200000,1400000,Lifestyle,,Lifestyle,1
jinyoung_0922jy,박진영,Music,,9300000,Indonesia,881400,1200000,Music,,Music,1
jlo,Jennifer Lopez,Music,Cinema & Actors/actresses,200800000,United States,429500,549900,Music,Entertainment,Music,1
joaogomescantor,João Gomes 🎙,,,10800000,Brazil,335800,917800,,,,0
joaoguilherme,J҉O҉T҉I҉N҉H҉A҉,Music,Cinema & Actors/actresses,15500000,Brazil,116800,227100,Music,Entertainment,Music,1
joeyking,Joey King,Music,Cinema & Actors/actresses,19100000,Brazil,541100,774100,Music,Entertainment,Music,1
johnnyjsuh,Johnny Suh,Lifestyle,Music,8100000,Indonesia,1300000,1600000,Lifestyle,Music,Lifestyle,1
jojotodynho,JoJo,Music,,21700000,Brazil,117300,190100,Music,,Music,1
jokowi,Joko Widodo,Finance & Economics,,45800000,Indonesia,158000,196000,Info/Business,,Info/Business,1
jongsuk0206,이종석,Cinema & Actors/actresses,,22200000,Indonesia,2200000,2900000,Entertainment,,Entertainment,1
jordialbaoficial,Jordi Alba,Sports with a ball,,14100000,Spain,135700,196300,Sports,,Sports,1
jorgelopez_as,Jorge Lopez,Cinema & Actors/actresses,,9700000,Brazil,211300,346300,Entertainment,,Entertainment,1
joshu_acoustic,Joshua Hong,Music,,4000000,,0,1000000,Music,,Music,1
joshuadun,jøsh dun,Music,,5800000,United States,540300,660000,Music,,Music,1
juandam___,JuanDa.,,,3500000,Colombia,772400,941200,,,,0
juandediospantoja,JD PANTOJA 🇲🇽,Music,Art/Artists,21500000,Mexico,519100,591800,Music,Lifestyle,Music,1
juanpazurita,Juanpa Zurita,Cinema & Actors/actresses,,28600000,Mexico,341700,485800,Entertainment,,Entertainment,1
juansguarnizo,Juan Sebastián Guarnizo,,,4700000,Mexico,659600,722900,,,,0
juicewrld999,Juice WRLD 9 9 9,,,12200000,United States,493900,833200,,,,0
juki_lop,JukiLop,Shows,Family,9100000,Mexico,493000,573300,Entertainment,Lifestyle,Entertainment,1
julesleblanc,julianna,Music,Shows,9700000,United States,409500,592100,Music,Entertainment,Music,1
julianapaes,Juliana Paes,Art/Artists,Cinema & Actors/actresses,30200000,Brazil,61400,95200,Lifestyle,Entertainment,Lifestyle,1
juliette,Juliette,Cinema & Actors/actresses,,33700000,Brazil,201200,319800,Entertainment,,Entertainment,1
jungkook_bighitentertainment,JUNGKOOK (전정국) Updates,Management & Marketing,Music,9900000,Brazil,1800000,2000000,Info/Business,Music,Info/Business,1
jungkook.97,Jungkook,,,35800000,,11400000,11400000,,,,0
justinbieber,Justin Bieber,Music,,227000000,India,439100,638200,Music,,Music,1
justinbieber,Justin Bieber,Music,,227400000,India,314200,445300,Music,,Music,1
justintimberlake,Justin Timberlake,Music,Art/Artists,64200000,United States,323300,432900,Music,Lifestyle,Music,1
juventus,Juventus,Sports with a ball,,52900000,India,61800,89400,Sports,,Sports,1
k.kbeom,김범 kimbum,,,5200000,Indonesia,1000000,1200000,,,,0
k.mbappe,Kylian Mbappé,Sports with a ball,,68900000,France,3000000,4300000,Sports,,Sports,1
kajalaggarwalofficial,Kajal A Kitchlu,Cinema & Actors/actresses,,21700000,India,527300,638000,Entertainment,,Entertainment,1
kaka,Kaká,Sports with a ball,,17900000,Brazil,83600,136100,Sports,,Sports,1
kaliuchis,,Music,,3700000,United States,399200,689700,Music,,Music,1
kapilsharma,Kapil Sharma,Cinema & Actors/actresses,Shows,39800000,India,690200,789300,Entertainment,Entertainment,Entertainment,1
kareenakapoorkhan,Kareena Kapoor Khan,Lifestyle,Cinema & Actors/actresses,8900000,India,367400,458300,Lifestyle,Entertainment,Lifestyle,1
karimbenzema,Karim Benzema,Sports with a ball,,47400000,France,981200,1400000,Sports,,Sports,1
karljacobs,Karl Jacobs,,,4000000,United States,722500,941700,,,,0
karolg,KAROL G,Music,,50800000,Mexico,4500000,5400000,Music,,Music,1
kartikaaryan,KARTIK AARYAN,Cinema & Actors/actresses,,23800000,India,472200,588200,Entertainment,,Entertainment,1
katherinelangford,KATHERINE LANGFORD,Cinema & Actors/actresses,,25700000,India,241900,346400,Entertainment,,Entertainment,1
katrinakaif,Katrina Kaif,Beauty,,62900000,India,1000000,1100000,Beauty/Fashion,,Beauty/Fashion,1
katyperry,KATY PERRY,Music,,156600000,Brazil,231800,302600,Music,,Music,1
kawtarbamo,KAWTAR BA-MOHAMED,Cinema & Actors/actresses,,7200000,Morocco,275900,374100,Entertainment,,Entertainment,1
kaylanicolejones,,Shows,,7300000,United States,166500,352700,Entertainment,,Entertainment,1
keerthysureshofficial,Keerthy Suresh,Fashion,Cinema & Actors/actresses,12500000,India,650700,743600,Beauty/Fashion,Entertainment,Beauty/Fashion,1
kehlani,Kehlani,Music,Family,13700000,United States,210500,328200,Music,Lifestyle,Music,1
kendalljenner,Kendall,Modeling,Fashion,227400000,United States,3400000,5500000,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
keniaos,Kenia Os,Music,,12600000,Mexico,545200,709000,Music,,Music,1
kentooyamazaki,山﨑賢人,Cinema & Actors/actresses,,4900000,Japan,583000,677100,Entertainment,,Entertainment,1
kenzie,kenzie ♡,Art/Artists,,14800000,United States,232400,353600,Lifestyle,,Lifestyle,1
kevindebruyne,Kevin De Bruyne,Sports with a ball,,16800000,United Kingdom,247500,382900,Sports,,Sports,1
kevinhart4real,Kevin Hart,Cinema & Actors/actresses,,140200000,United States,111300,141000,Entertainment,,Entertainment,1
kevinroldankr,KR ♛,Music,,10100000,Mexico,180200,291400,Music,,Music,1
khabib_nurmagomedov,Хабиб Нурмагомедов,Fitness & Gym,,33300000,Russia,252600,353300,Sports,,Sports,1
khaby00,Khaby Lame,,,73900000,Iran,4300000,6500000,,,,0
khloekardashian,Khloé Kardashian,Clothing & Outfits,Lifestyle,230200000,United States,991100,1200000,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
kiaraaliaadvani,KIARA,Cinema & Actors/actresses,,22100000,India,828800,939300,Entertainment,,Entertainment,1
kiernanshipka,Kiernan Shipka,Cinema & Actors/actresses,,8100000,Brazil,207300,335800,Entertainment,,Entertainment,1
kimberly.loaiza,KIM LOAIZA 🖤,Clothing & Outfits,Lifestyle,33900000,Mexico,995000,1200000,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
kimjuncotton,SUHO,Lifestyle,,9700000,Indonesia,1400000,1700000,Lifestyle,,Lifestyle,1
kimkardashian,Kim Kardashian,Fashion,Beauty,296400000,United States,2000000,2900000,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
kimshantal,Kim Shantal 🌹,Music,,11600000,Mexico,203300,237800,Music,,Music,1
kingarturo23oficial,Arturo Vidal,Sports with a ball,,16700000,Italy,120800,194800,Sports,,Sports,1
kingbach,King Bach,Music,Art/Artists,22100000,United States,120600,242000,Music,Lifestyle,Music,1
kingjames,👑,Sports with a ball,,116600000,United States,952900,1600000,Sports,,Sports,1
kingryan,Ryan Garcia,Fitness & Gym,,8700000,United States,209500,316600,Sports,,Sports,1
kittychicha,NANNO | KITTYCHICHA AMATAYAKUL,Lifestyle,,4200000,Philippines,678800,823400,Lifestyle,,Lifestyle,1
kjapa,KJ Apa,Cinema & Actors/actresses,,19000000,United States,1000000,1500000,Entertainment,,Entertainment,1
kkvsh,🇯🇲🦂🇸🇻,Lifestyle,,8200000,United States,198800,336600,Lifestyle,,Lifestyle,1
klaythompson,Klay Thompson,Sports with a ball,Lifestyle,11600000,United States,202300,294700,Sports,Lifestyle,Sports,1
kourtneykardash,Kourtney ❤️,Lifestyle,,166400000,United States,674500,961200,Lifestyle,,Lifestyle,1
krisjenner,Kris Jenner,Shows,Beauty,46600000,United States,119600,183400,Entertainment,Beauty/Fashion,Entertainment,1
kritisanon,Kriti,Modeling,,47300000,India,565500,658200,Beauty/Fashion,,Beauty/Fashion,1
ksi,KSI,Music,,11200000,United Kingdom,611700,857500,Music,,Music,1
kun11xd,KUN,Lifestyle,,6500000,Indonesia,802400,1000000,Lifestyle,,Lifestyle,1
