rank,handle_instagram,name_instagram,followers,audience_country,engagement_auth,engagement_avg,category_1,category_2,unified_cat_1,unified_cat_2
285,ashishchanchlani,Ashish Chanchlani,14600000,India,621800,760300,Cinema & Actors/actresses,,Entertainment,
286,iammichelemorroneofficial,Michele Morrone,15300000,Brazil,498400,714900,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment
287,dannapaola,Danna Paola,34800000,Mexico,216100,313300,,,,
288,bhuvan.bam22,Bhuvan Bam,14800000,India,594900,736500,Cinema & Actors/actresses,,Entertainment,
289,cbum,Chris Bumstead,10100000,United States,646300,1100000,Fitness & Gym,,Sports,
290,psg,Paris Saint-Germain,62400000,Brazil,103200,172200,Sports with a ball,,Sports,
291,mina_sr_my,미나 (MINA),6600000,Indonesia,1400000,1700000,,,,
292,marvelstudios,Marvel Studios,38300000,India,249500,279600,Cinema & Actors/actresses,,Entertainment,
293,tenlee_1001,TEN_+•10,9900000,Indonesia,860900,1100000,,,,
294,mirella,BAD MI ⚡️ MIRELLA,27000000,Brazil,188100,396400,,,,
295,greeicy,Greeicy,21400000,Colombia,371700,498800,Shows,Cinema & Actors/actresses,Entertainment,Entertainment
296,winmetawin,Win Metawin O.,14100000,Philippines,673600,761700,Lifestyle,,Lifestyle,
297,anuel,“REAL HASTA LA MUERTE”,29400000,Spain,239800,366500,,,,
298,mont.pantoja,MONT,12400000,Mexico,717700,853800,,,,
299,alidaei,Ali Daei,9100000,Iran,722800,1200000,Sports with a ball,,Sports,
300,jheneaiko,Jhené Aiko Efuru Chilombo 🔮,15000000,United States,399500,700700,,,,
301,urvashirautela,Urvashi Rautela,54200000,India,164400,194400,Cinema & Actors/actresses,,Entertainment,
302,imsebastianstan,Sebastian Stan,9400000,United States,941300,1100000,Shows,Cinema & Actors/actresses,Entertainment,Entertainment
303,larasilva,Lara Silva ⚠️,17400000,Brazil,386600,596800,Shows,Adult content,Entertainment,Entertainment
304,brunamarquezine,Bruna Marquezine,43100000,Brazil,139500,242000,Cinema & Actors/actresses,,Entertainment,
305,manurios,Manu Rios,11000000,Mexico,553300,933000,Shows,,Entertainment,
306,nct127,NCT 127 Official Instagram,14300000,Indonesia,582800,720400,,,,
307,ross_lynch,Ross Shor Lynch,10900000,United States,468500,935600,Cinema & Actors/actresses,,Entertainment,
308,asaprocky,GRIM,15000000,United States,405600,678200,,,,
309,maya_hawke,Maya Hawke,10100000,United States,723100,1000000,Cinema & Actors/actresses,,Entertainment,
310,nusr_et,Nusr_et#Saltbae,47700000,Turkey,144600,212800,Food & Cooking,,Lifestyle,
311,neslihanatagul,Neslihan Atagül Doğulu,13500000,Turkey,608900,776600,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion
312,arigameplays,ARIGAMEPLAYS,11500000,Mexico,727800,873800,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment
313,hi_sseulgi,슬기 Seulgi,12600000,Indonesia,634200,794900,Modeling,,Beauty/Fashion,
314,whinderssonnunes,Whindersson Nunes,58800000,Brazil,111200,171900,Humor & Fun & Happiness,,Entertainment,
315,bellathorne,BELLA,25400000,United States,232300,389700,,,,
316,nct_dream,NCT DREAM OFFICIAL,10400000,Indonesia,845000,944000,Modeling,Fashion,Beauty/Fashion,Beauty/Fashion
317,burakozcivit,Burak Özçivit,22000000,Turkey,371500,451100,Cinema & Actors/actresses,,Entertainment,
318,luisasonza,LUÍSA SONZA,30300000,Brazil,205600,325900,Lifestyle,,Lifestyle,
319,xeesoxee,한소희,9700000,Indonesia,784200,1000000,Lifestyle,,Lifestyle,
320,wwiinn_7,WINWIN,7400000,Indonesia,1100000,1300000,,,,
321,paulolondra,Paulo londra,13700000,Argentina,451000,704900,,,,
322,sofiacarson,Sofia Carson,20300000,Brazil,350600,475300,Cinema & Actors/actresses,,Entertainment,
323,michaelbjordan,Michael B. Jordan,18700000,United States,310200,514500,Cinema & Actors/actresses,,Entertainment,
324,hannahstocking,Hannah Stocking,22700000,United States,297500,422800,Modeling,,Beauty/Fashion,
325,sza,SZA,12600000,United States,451500,763300,,,,
326,anguscloud,Angus Cloud,8000000,United States,720100,1200000,,,,
327,jy_piece,유정연,5500000,Brazil,1400000,1700000,,,,
328,nba,NBA,70600000,United States,81900,132600,Sports with a ball,,Sports,
329,auba,Pierre-Emerick Aubameyang,13300000,United Kingdom,445000,708600,Sports with a ball,,Sports,
330,kevindebruyne,Kevin De Bruyne,18900000,United Kingdom,320300,495700,Sports with a ball,,Sports,
331,juanpazurita,Juanpa Zurita,30300000,Mexico,214900,306100,Cinema & Actors/actresses,,Entertainment,
332,haechanahceah,HAECHAN,4600000,Indonesia,1800000,2000000,,,,
333,chaeyo.0,채영 (CHAEYOUNG),6900000,Philippines,1200000,1400000,Lifestyle,,Lifestyle,
334,aron.piper,ARON🌜🌞,13600000,Brazil,356400,671500,Lifestyle,,Lifestyle,
335,hassan_reyvandi,hasan reyvandi حسن ریوندی,19700000,Iran,337900,466900,Cinema & Actors/actresses,Humor & Fun & Happiness,Entertainment,Entertainment
336,aespa_official,aespa 에스파,9500000,Indonesia,674800,970400,,,,
337,rohitsharma45,Rohit Sharma,24900000,India,324400,366300,Sports with a ball,Lifestyle,Sports,Lifestyle
338,belindapop,Beli,15600000,Mexico,405600,581100,,,,
339,dahhyunnee,다현 (DAHYUN),6300000,Brazil,1300000,1500000,,,,
340,shaq,DR. SHAQUILLE O'NEAL Ed.D.,26700000,United States,258100,338500,Humor & Fun & Happiness,Sports with a ball,Entertainment,Sports
341,kimjuncotton,SUHO,10300000,Indonesia,732400,873700,Lifestyle,,Lifestyle,
342,thenotoriousmma,Conor McGregor Official,46100000,United States,134400,194900,Fitness & Gym,,Sports,
343,bighit_ent,BigHit Music Updates,12900000,Indonesia,564000,694900,,,,
344,rauwalejandro,RAULEETO,15100000,Spain,411100,596200,,,,
345,klrahul,KL Rahul👑,13000000,India,538000,687100,Sports with a ball,,Sports,
346,duki,Ya Supiste,10600000,Argentina,541700,833900,,,,
347,sophiet,S O P H I E T U R N E R,14700000,United States,445600,599100,Cinema & Actors/actresses,,Entertainment,
348,chiaraferragni,Chiara Ferragni ✨,27800000,Italy,189800,315200,Beauty,,Beauty/Fashion,
349,toni.kr8s,Toni Kroos,35100000,Germany,184000,249900,Sports with a ball,,Sports,
350,sureshraina3,Suresh Raina,21000000,India,369300,416600,Modeling,,Beauty/Fashion,
351,duki,Ya Supiste,10600000,Argentina,541700,833900,,,,
352,sophiet,S O P H I E T U R N E R,14700000,United States,445600,599100,Cinema & Actors/actresses,,Entertainment,
353,michelleobama,Michelle Obama,50800000,United States,156100,174600,Finance & Economics,Business & Careers,Info/Business,Info/Business
354,chiaraferragni,Chiara Ferragni ✨,27800000,Italy,189800,315200,Beauty,,Beauty/Fashion,
355,toni.kr8s,Toni Kroos,35100000,Germany,184000,249900,Sports with a ball,,Sports,
356,sureshraina3,Suresh Raina,21000000,India,369300,416600,Modeling,,Beauty/Fashion,
357,ratantata,Ratan Tata,6800000,India,1100000,1300000,Business & Careers,,Info/Business,
358,charles_leclerc,Charles Leclerc,8700000,Italy,763700,1000000,Racing Sports,,Sports,
359,alexandradaddario,alexandra daddario,22500000,India,313100,382600,Cinema & Actors/actresses,,Entertainment,
360,m_kayoung,MUN KA YOUNG,8600000,Indonesia,765100,1000000,Cinema & Actors/actresses,,Entertainment,
361,joeyking,Joey King,19100000,Brazil,313900,449300,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion
362,stephencurry30,Wardell Curry,45900000,United States,140000,187300,Sports with a ball,Family,Sports,Lifestyle
363,houseofhighlights,House of Highlights,36100000,United States,130000,238100,Sports with a ball,,Sports,
364,lizasoberano,Liza Soberano,17500000,Philippines,410300,489400,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
365,jadepicon,JADE 🌪,20900000,Brazil,187700,412900,Modeling,Fashion,Beauty/Fashion,Beauty/Fashion
366,wow_kimsohyun,김소현,12400000,Indonesia,592100,681200,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion
367,todayis_wendy,Wendy,7100000,Indonesia,992000,1200000,Lifestyle,,Lifestyle,
368,caradelevingne,Cara Delevingne,42800000,United States,137400,192700,Modeling,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
369,c.syresmith,Jaden Smith,19200000,United States,275400,426200,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle
370,darshanravaldz,Darshan Raval #BaarishonMein,15300000,India,438600,529900,,,,
371,eminem,Marshall Mathers,36500000,Iran,171400,221200,Cinema & Actors/actresses,,Entertainment,
372,lildurk,DURKIOOO,14200000,United States,203200,573000,,,,
373,khabib_nurmagomedov,Хабиб Нурмагомедов,33600000,Russia,168000,235800,Fitness & Gym,,Sports,
374,barackobama,Barack Obama,35400000,United States,191200,225100,Finance & Economics,Business & Careers,Info/Business,Info/Business
375,liltjay,TJAYYYY 🖤,7600000,United States,575800,1100000,Lifestyle,,Lifestyle,
376,9gag,9GAG: Go Fun The World,58100000,Indonesia,105200,134600,Humor & Fun & Happiness,,Entertainment,
377,fabriziorom,Fabrizio Romano,10700000,Italy,418500,724500,Literature & Journalism,Shows,Info/Business,Entertainment
378,ksi,KSI,12100000,United Kingdom,459500,645300,,,,
379,nattinatasha,NATTI NATASHA,35900000,Mexico,179200,215000,Cinema & Actors/actresses,,Entertainment,
380,andressasuita,Andressa Suita,15800000,Brazil,296200,491300,Modeling,,Beauty/Fashion,
381,_mariahwasa,HWASA,8300000,Brazil,725700,936400,,,,
382,lestykejora,Lestikejora,25900000,Indonesia,230300,298500,,,,
383,lilyachty,C.V T,10400000,United States,363100,740100,Humor & Fun & Happiness,Lifestyle,Entertainment,Lifestyle
384,nba_youngboy,PAIN REAL.🩸,10600000,United States,387500,749800,,,,
385,ssinz7,박신혜/Shin Hye Park,13800000,Indonesia,449900,552800,Cinema & Actors/actresses,,Entertainment,
386,dntlrdl,CHOIWOOSHIK,6900000,Indonesia,850600,1100000,Lifestyle,,Lifestyle,
387,wizkidayo,BIG WIZ🦅,15200000,Nigeria,264700,513900,,,,
388,alfinetei,Alfinetadas Dos Famosos 📌,21800000,Brazil,155200,348800,Humor & Fun & Happiness,,Entertainment,
389,gianlucavacchi,Gianluca Vacchi,22500000,Brazil,216300,332700,Lifestyle,,Lifestyle,
390,yuu_taa_1026,YUTA 悠太,8500000,Indonesia,684000,895700,,,,
391,kunaguero,Sergio Leonel Agüero,23800000,Argentina,181600,314100,Sports with a ball,,Sports,
392,prillylatuconsina96,Prilly Latuconsina,49200000,Indonesia,107800,151700,Cinema & Actors/actresses,,Entertainment,
393,kjapa,KJ Apa,18500000,United States,279800,399800,Cinema & Actors/actresses,,Entertainment,
394,weareone.exo,EXO Official,10000000,Indonesia,602400,756400,,,,
395,alissaviolet,Alissa Violet,11700000,United States,387100,622800,Modeling,,Beauty/Fashion,
396,shehnaazgill,Shehnaaz Gill,11800000,India,527600,657800,Cinema & Actors/actresses,,Entertainment,
397,clean_0828,김세정,8300000,Indonesia,712400,888300,Lifestyle,,Lifestyle,
398,hshq,Harry Styles HQ,6600000,United States,638500,1100000,Cinema & Actors/actresses,Fashion,Entertainment,Beauty/Fashion
399,deiveleonardo,Deive Leonardo,12100000,Brazil,330300,608100,Literature & Journalism,Trainers & Coaches,Info/Business,Sports
400,markruffalo,Mark Ruffalo,20900000,Brazil,276400,348100,Cinema & Actors/actresses,,Entertainment,
401,premierleague,Premier League,59200000,United Kingdom,83700,121900,Sports with a ball,,Sports,
402,txt_bighit,TOMORROW X TOGETHER OFFICIAL,12800000,Indonesia,443900,560300,,,,
403,nickyjam,NICKY JAM,43400000,Spain,120300,166400,,,,
404,lilnasx,MONTERO,12400000,United States,344600,576500,,,,
405,yasmine_sabri,Yasmine Sabri,19600000,Egypt,262900,368800,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle
406,taina,Tainá Costa,16100000,Brazil,212900,444800,,,,
407,anyataylorjoy,Anya Taylor-Joy,9100000,United States,554700,799500,Modeling,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
408,bellapoarch,Bella Poarch,14000000,United States,379300,512800,Lifestyle,,Lifestyle,
409,frenkiedejong,Frenkie de Jong,10800000,Spain,443800,667000,Sports with a ball,,Sports,
410,abdevilliers17,AB de Villiers,18800000,India,328300,378800,Sports with a ball,Lifestyle,Sports,Lifestyle
411,conangray,Conan Gray,6800000,Brazil,713000,1100000,,,,
412,mariabecerra,Maria Becerra,10400000,Argentina,289200,683000,,,,
413,annakendrick47,Anna Kendrick,22200000,United States,244300,319300,Cinema & Actors/actresses,,Entertainment,
414,jinyoung_0922jy,박진영,9900000,Indonesia,544800,720500,,,,
415,o.dembele7,Ousmane Dembélé,11500000,Spain,358500,613200,Sports with a ball,,Sports,
416,alwaysramcharan,Ram Charan,8300000,India,766500,858300,Cinema & Actors/actresses,,Entertainment,
417,krisjenner,Kris Jenner,49900000,United States,92100,140000,Shows,Beauty,Entertainment,Beauty/Fashion
418,larissamanoela,Larissa Manoela,46800000,Brazil,90100,149600,Cinema & Actors/actresses,,Entertainment,
419,demetozdemir,Demet Özdemir,15400000,India,357800,456600,Cinema & Actors/actresses,,Entertainment,
420,melo,LaMelo Ball,9200000,United States,377500,767400,Lifestyle,Sports with a ball,Lifestyle,Sports
421,dqsalmaan,Dulquer Salmaan,11100000,India,462400,625800,Cinema & Actors/actresses,,Entertainment,
422,kehlani,Kehlani,14200000,United States,314800,490500,Family,,Lifestyle,
423,_seorina,설인아 sᴇᴏʀɪɴᴀ,6600000,South Korea,858300,1100000,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment
424,anupamaparameswaran96,Anupama Parameswaran,12500000,India,485000,554800,Cinema & Actors/actresses,,Entertainment,
425,marktuan,Mark Tuan,12900000,Indonesia,423500,534400,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion
426,evcenf,Fahriye Evcen Özçivit,13100000,Turkey,418900,528800,Lifestyle,Beauty,Lifestyle,Beauty/Fashion
427,yejinhand,손예진,7100000,Indonesia,757900,986800,Cinema & Actors/actresses,,Entertainment,
428,barbieferreira,barbie ferreira,6300000,United States,609400,1100000,Cinema & Actors/actresses,,Entertainment,
429,mingue.k,김민규,6100000,Indonesia,926100,1100000,Lifestyle,,Lifestyle,
430,frenchmontana,French Montana,31000000,United States,134300,221200,,,,
431,sadiomaneofficiel,Sadio Mane,12100000,United Kingdom,390400,556400,Sports with a ball,,Sports,
432,shaymitchell,Shay Mitchell,34300000,United States,140100,196400,Beauty,Family,Beauty/Fashion,Lifestyle
433,peytonlist,Peyton List,20200000,United States,221200,332500,Cinema & Actors/actresses,,Entertainment,
434,dixiedamelio,dixie,24800000,United States,184700,270700,Clothing & Outfits,,Beauty/Fashion,
435,alok,Alok,27800000,Brazil,188800,241500,,,,
436,yaocabrera,Yao Cabrera,16500000,Argentina,187400,406800,,,,
437,amandacerny,Amanda 𝕮𝖊𝖗𝖓𝖞,23700000,India,175500,281400,Humor & Fun & Happiness,,Entertainment,
438,parineetichopra,𝙿𝚊𝚛𝚒𝚗𝚎𝚎𝚝𝚒 𝙲𝚑𝚘𝚙𝚛𝚊 🫧,37700000,India,153500,177300,Cinema & Actors/actresses,,Entertainment,
439,gururandhawa,Guru Randhawa,32900000,India,166400,204500,,,,
440,chelseafc,Chelsea FC,35600000,Indonesia,125000,186900,Sports with a ball,,Sports,
441,layzhang,Lay Zhang,14200000,Indonesia,446100,472500,,,,
442,maisa,#NAME?,44800000,Brazil,108900,148400,,,,
443,wi__wi__wi,위하준 Wi Ha Jun,10000000,South Korea,556900,670000,Lifestyle,,Lifestyle,
444,madhuridixitnene,Madhuri Dixit,32700000,India,173000,200400,Cinema & Actors/actresses,,Entertainment,
445,jakepaul,Jake Paul,20600000,United States,190400,320400,Cinema & Actors/actresses,,Entertainment,
446,mathildtantot,Mathilde,10100000,United States,424600,642600,Lifestyle,Modeling,Lifestyle,Beauty/Fashion
447,for_everyoung10,장원영 WONYOUNG,5800000,Indonesia,902900,1100000,Lifestyle,,Lifestyle,
448,leaelui,Lea Elui G,11400000,India,337500,567200,Modeling,Lifestyle,Beauty/Fashion,Lifestyle
449,miguel.g.herran,Miguel Herrán,13800000,Brazil,309500,465700,Cinema & Actors/actresses,,Entertainment,
450,iscoalarcon,Isco Alarcon Suarez,25400000,Spain,175300,253700,Sports with a ball,,Sports,
451,jakepaul,Jake Paul,20600000,United States,190400,320400,Cinema & Actors/actresses,,Entertainment,
452,mathildtantot,Mathilde,10100000,United States,424600,642600,Lifestyle,Modeling,Lifestyle,Beauty/Fashion
453,leaelui,Lea Elui G,11400000,India,337500,567200,Modeling,Lifestyle,Beauty/Fashion,Lifestyle
454,miguel.g.herran,Miguel Herrán,13800000,Brazil,309500,465700,Cinema & Actors/actresses,,Entertainment,
455,iscoalarcon,Isco Alarcon Suarez,25400000,Spain,175300,253700,Sports with a ball,,Sports,
456,camilo,C A M I L O,27500000,Argentina,146100,231800,,,,
457,leonardodicaprio,Leonardo DiCaprio,54700000,United States,94100,117500,Cinema & Actors/actresses,,Entertainment,
458,jennaortega,Jenna Ortega,8600000,United States,523200,745300,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle
459,susana.dxoxo,Susane Damouni,13500000,India,299200,482400,,,,
460,teddysphotos,Ed Sheeran,40300000,United States,114200,155400,,,,
461,channingtatum,Channing Tatum,17000000,United States,254700,367100,Cinema & Actors/actresses,,Entertainment,
462,vanessahudgens,🔮Vanessa Hudgens🔮,47100000,United States,80400,132000,Cinema & Actors/actresses,,Entertainment,
463,antogriezmann,Antoine Griezmann,36600000,Spain,105100,169400,Sports with a ball,,Sports,
464,florencepugh,Florence Pugh,7900000,United States,523200,800000,Humor & Fun & Happiness,Cinema & Actors/actresses,Entertainment,Entertainment
465,jessnolimit,Jess No Limit,7300000,Indonesia,716300,858200,Shows,,Entertainment,
466,vinniehacker,†,5900000,United States,506600,1100000,Lifestyle,,Lifestyle,
467,saweetie,,13100000,United States,201800,469200,Cinema & Actors/actresses,,Entertainment,
468,adidasfootball,adidas Football,31700000,Brazil,141600,193100,Sports with a ball,,Sports,
469,i_m_hendery,Hi👉🏻im Hendery👈🏻,6400000,United States,755200,978800,,,,
470,loud_victor,Victor Augusto,10700000,Brazil,449100,573900,Lifestyle,Sports with a ball,Lifestyle,Sports
471,xuminghao_o,The8 디에잇,5400000,Indonesia,908900,1100000,,,,
472,polo.capalot,Polo.G🐐,10500000,United States,349300,574800,,,,
473,adamweitsman,Adam Weitsman,18300000,Russia,242400,330800,Business & Careers,,Info/Business,
474,corinnakopf,corinna kopf,6800000,United States,586700,898100,Beauty,,Beauty/Fashion,
475,romeosantos,Romeo Santos,19300000,United States,255500,316400,,,,
476,nianaguerrero,Niana,14200000,Indonesia,335300,420700,Kids & Toys,,Entertainment,
477,lilpeep,lil peep,7600000,United States,475600,799900,,,,
478,juventus,Juventus,54800000,India,75500,110500,Sports with a ball,,Sports,
479,vegetta777,♈️ Samuel De Luque ♈️,6200000,Mexico,715600,976100,,,,
480,davikah,davikah,17100000,Thailand,269200,348700,Modeling,,Beauty/Fashion,
481,vickykaushal09,Vicky Kaushal,14200000,India,357800,419900,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment
482,aliiiiiiiikarimi8,Ali Karimi,9800000,Iran,415500,630700,Sports with a ball,,Sports,
483,goar_avetisyan,Goar Avetisyan,11700000,Russia,370000,512500,Beauty,,Beauty/Fashion,
484,navidmohammadzadeh,navid mohammadzadeh,8600000,Iran,495900,700100,Cinema & Actors/actresses,,Entertainment,
485,jokowi,Joko Widodo,48100000,Indonesia,98800,124700,Finance & Economics,,Info/Business,
486,pablogavi,GAVI,5900000,Spain,685100,1000000,Sports with a ball,,Sports,
487,djxiao_888,XIAOJUN,7000000,Indonesia,685000,856800,,,,
488,fuji_an,Fujianti Utami Putri,11800000,Indonesia,208500,495900,Lifestyle,,Lifestyle,
489,easportsfifa,EA SPORTS FIFA,27200000,Spain,127900,214500,Sports with a ball,,Sports,
490,coldplay,Coldplay,17600000,Brazil,237800,331200,,,,
491,cazzu,♡ 𝖓𝖊𝖓𝖆 ᴛʀᴀᴍᴘᴀ,10500000,Argentina,430800,552100,,,,
492,joshu_acoustic,Joshua Hong,5000000,India,997200,1200000,,,,
493,kyo1122,Song hyekyo,13400000,Indonesia,336700,428700,Cinema & Actors/actresses,,Entertainment,
494,tiffanyyoungofficial,tiffany young,12800000,Indonesia,359600,449900,Modeling,Fashion,Beauty/Fashion,Beauty/Fashion
495,dababy,BILLION DOLLAR BABY 👶🏾,21300000,United States,166700,271100,,,,
496,yangyang_x2,YangYang 양양,6400000,Indonesia,714500,907200,,,,
497,jailyneojeda,Jailyne Ojeda Ochoa,14100000,United States,293300,405700,Modeling,Lifestyle,Beauty/Fashion,Lifestyle
498,obj,Odell Beckham Jr,16400000,United States,182600,347600,Sports with a ball,,Sports,
499,bernardokath,Kathryn Bernardo 🐘,17400000,Philippines,270700,326200,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
500,simonemendes,Simone Mendes,35500000,Brazil,128000,161500,,,,
501,gisele,Gisele Bündchen,19700000,Brazil,194800,289500,Modeling,Fashion,Beauty/Fashion,Beauty/Fashion
502,ana_d_armas,A N A   D E   A R M A S,7900000,United States,533300,721400,Cinema & Actors/actresses,,Entertainment,
503,nazriyafahadh,Nazriya Nazim Fahadh,6400000,India,666100,892300,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment
504,rachel_mypark,박민영 Minyoung Park,10300000,Indonesia,433500,540000,Cinema & Actors/actresses,,Entertainment,
505,phil.coutinho,Philippe Coutinho,24900000,Brazil,136700,222100,Sports with a ball,,Sports,
506,nicholasgalitzine,Nicholas Galitzine,4100000,Brazil,817700,1400000,Cinema & Actors/actresses,,Entertainment,
507,sound_of_coups,COUPS,4500000,Indonesia,986300,1300000,,,,
508,cocielo,Júlio Cocielo Estaniecki,19200000,Brazil,182400,285600,Cinema & Actors/actresses,,Entertainment,
509,julesleblanc,julianna,9800000,United States,392300,567700,Shows,,Entertainment,
510,anjimaxuofficially,Anjali Arora,11900000,India,363200,464800,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment
511,kit.connor,Kit Connor,4500000,United States,734800,1200000,Cinema & Actors/actresses,Humor & Fun & Happiness,Entertainment,Entertainment
512,jackharlow,,6900000,United States,425900,795100,Lifestyle,Humor & Fun & Happiness,Lifestyle,Entertainment
513,euphoria,euphoria,7800000,United States,434300,700800,Photography,Cinema & Actors/actresses,Lifestyle,Entertainment
514,lucasranngel,LUCAS RANGEL,20100000,Brazil,121400,268800,Lifestyle,,Lifestyle,
515,briandadeyanara,BRIANDA 💖,13500000,Mexico,337500,396300,Lifestyle,,Lifestyle,
516,daquan,Daquan,16700000,United States,207300,319700,Humor & Fun & Happiness,,Entertainment,
517,sommerray,Sommer Ray,26300000,United States,129500,203200,Modeling,,Beauty/Fashion,
518,theshilpashetty,Shilpa Shetty Kundra,26500000,India,173500,201600,Cinema & Actors/actresses,,Entertainment,
519,charlieputh,Charlie Puth,16700000,United States,222800,316700,,,,
520,golfarahani,Golshifteh Farahani,13700000,Iran,301700,388900,Cinema & Actors/actresses,,Entertainment,
521,choquei,CHOQUEI,17500000,Brazil,97100,301600,Literature & Journalism,,Info/Business,
522,kingbach,King Bach,23100000,United States,113300,227200,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion
523,dra.deolanebezerra,Deolane Bezerra ⚖️,15000000,Brazil,163600,351300,Beauty,Lifestyle,Beauty/Fashion,Lifestyle
524,lexibrookerivera,Lexi Rivera,8500000,United States,512000,640500,Shows,Humor & Fun & Happiness,Entertainment,Entertainment
525,yooncy1,윤찬영 Yoon chanyoung,4900000,South Korea,904700,1100000,Lifestyle,,Lifestyle,
526,k.kbeom,김범 kimbum,5400000,Indonesia,798400,977100,,,,
527,angelinajolie,Angelina Jolie,13600000,Brazil,232400,384900,,,,
528,liamhemsworth,Liam Hemsworth,13000000,United States,280900,398900,Cinema & Actors/actresses,,Entertainment,
529,klaythompson,Klay Thompson,13400000,United States,267500,388800,Sports with a ball,Lifestyle,Sports,Lifestyle
530,caviarmagnat,Anton Tregubov,15100000,Russia,239300,345900,Lifestyle,,Lifestyle,
531,melissamelmaia,MEL MAIA 🍯,13500000,Brazil,211400,383000,,,,
532,soohyun_k216,김수현 Kim Soo Hyun 金秀賢,13900000,Indonesia,304800,371000,,,,
533,yerimiese,Yeri,10700000,Indonesia,386700,478900,Lifestyle,,Lifestyle,
534,superstar_dewasi99,SUPERSTARDEWASI 99,13500000,India,241700,381800,Cinema & Actors/actresses,,Entertainment,
535,d_degeaofficial,David De Gea,13800000,United Kingdom,264200,373900,Sports with a ball,,Sports,
536,urstrulymahesh,Mahesh Babu,8800000,India,534100,588000,Cinema & Actors/actresses,,Entertainment,
537,angeldimariajm,Ángel Di María,18500000,Argentina,186700,275200,Sports with a ball,,Sports,
538,fuckjerry,FUCKJERRY,16800000,United States,236600,306000,Humor & Fun & Happiness,,Entertainment,
539,__youngbae__,TAEYANG,13600000,Indonesia,331000,373900,,,,
540,d_a___m_i,KIM DA MI,4600000,Indonesia,900000,1100000,,,,
541,salmahayek,Salma Hayek Pinault,21600000,United States,189100,233800,Cinema & Actors/actresses,,Entertainment,
542,lakers,Los Angeles Lakers,20200000,United States,161700,247900,Sports with a ball,,Sports,
543,actorsuriya,Suriya Sivakumar,5400000,India,733800,952300,Cinema & Actors/actresses,,Entertainment,
544,yugyeom,KYUM,11500000,Brazil,364600,437400,Cinema & Actors/actresses,,Entertainment,
545,dindahw,Dinda Hauw,14600000,Indonesia,228700,342400,Cinema & Actors/actresses,,Entertainment,
546,dylansprouse,Dylan Sprouse,9100000,United States,352500,553400,Cinema & Actors/actresses,,Entertainment,
547,sav.labrant,Savannah Rose LaBrant,7100000,United States,518800,693900,Family,Lifestyle,Lifestyle,Lifestyle
548,riteishd,Riteish Deshmukh,15300000,India,272700,318600,Cinema & Actors/actresses,,Entertainment,
549,ozuna,@ozutochi 🔜,22500000,Spain,160700,215600,,,,
550,xsqueezie,,7900000,France,526400,615600,Lifestyle,,Lifestyle,
551,emiliamernes,Emilia Mernes,6200000,Argentina,415000,781000,,,,
552,nehasharmaofficial,Neha Sharma 💫,14800000,India,280700,322500,Cinema & Actors/actresses,,Entertainment,
553,sommerray,Sommer Ray,26300000,United States,115200,180900,Modeling,,Beauty/Fashion,
554,srinidhi_shetty,Srinidhi Shetty 🌸,4400000,India,818600,1100000,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
555,shreyaghoshal,shreyaghoshal,24800000,India,171200,191200,,,,
556,memezar,MEMEZAR • Comedy and Culture,23000000,United States,137200,204500,Cinema & Actors/actresses,,Entertainment,
557,chloegmoretz,Chloë Grace Moretz,21500000,United States,163200,218300,Cinema & Actors/actresses,,Entertainment,
558,warriors,Golden State Warriors,25500000,United States,132000,183000,Lifestyle,Sports with a ball,Lifestyle,Sports
559,gusttavolima,🏛 Gusttavo Lima 🏛,44000000,Brazil,64700,107200,,,,
560,kun11xd,KUN,6900000,Indonesia,552500,689600,Lifestyle,,Lifestyle,
561,lukehemmings,Luke Hemmings,7900000,United States,351700,599700,,,,
562,juansguarnizo,Juan Sebastián Guarnizo,6300000,Mexico,683700,748700,Lifestyle,,Lifestyle,
563,amauryguichon,Amaury Guichon,9500000,United States,404000,492300,Food & Cooking,,Lifestyle,
564,phoebejtonkin,Phoebe Tonkin,8400000,United States,388300,554100,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
